@RELATION mirnas_train


@ATTRIBUTE ddG NUMERIC
@ATTRIBUTE gc_content NUMERIC
@ATTRIBUTE dP NUMERIC
@ATTRIBUTE dQ NUMERIC
@ATTRIBUTE ddS NUMERIC
@ATTRIBUTE dMelt NUMERIC
@ATTRIBUTE dGU NUMERIC
@ATTRIBUTE dAU NUMERIC
@ATTRIBUTE dSS NUMERIC
@ATTRIBUTE Fs NUMERIC
@ATTRIBUTE zP NUMERIC
@ATTRIBUTE zG NUMERIC
@ATTRIBUTE zQ NUMERIC
@ATTRIBUTE zD NUMERIC
@ATTRIBUTE zF NUMERIC
@ATTRIBUTE nefe NUMERIC
@ATTRIBUTE freq NUMERIC
@ATTRIBUTE diff NUMERIC
@ATTRIBUTE diversity NUMERIC
@ATTRIBUTE GU_stems NUMERIC
@ATTRIBUTE MFEI1 NUMERIC
@ATTRIBUTE MFEI2 NUMERIC
@ATTRIBUTE MFEI3 NUMERIC
@ATTRIBUTE MFEI4 NUMERIC
@ATTRIBUTE MFEIss NUMERIC
@ATTRIBUTE dPdQ NUMERIC
@ATTRIBUTE MFEI1zG NUMERIC
@ATTRIBUTE dPzG NUMERIC
@ATTRIBUTE class {yes,no}

@DATA
-0.26704545454545453,0.47778925619834717,0.3522727272727273,0.017956918714414707,-8.284090909090908,0.3890759446315002,0.125,0.19318181818181818,0.011363636363636364,0.381966,2.6463,-3.002,-1.098,-0.6614,0.031,-0.3318181818181818,320.0238518,0.026136363636363645,11.59,0.013824884792626727,0.5589189189189189,0.03814935064935065,0.03814935064935065,0.008614369501466275,23.499999999999996,0.006325732728941545,-1.6778745945945943,-1.0575227272727272,yes
-0.25058823529411767,0.5951557093425606,0.25882352941176473,0.01784409773872971,-7.309411764705882,0.40522244629382415,0.1411764705882353,0.07058823529411765,0.058823529411764705,0.381966,0.8814,-0.8622,0.1884,0.4007,-2.2824,-0.2748235294117647,320.109661,0.015999999999999993,20.58,0.03636363636363636,0.421046511627907,0.05011764705882353,0.04176470588235295,0.011390374331550802,4.260000000000001,0.004618472355906514,-0.3630263023255814,-0.22315764705882354,no
-0.4716666666666667,0.0,0.3333333333333333,0.026416041678685935,-11.461666666666668,0.585526634675973,0.26666666666666666,0.0,0.016666666666666666,0.0,3.9513,-1.1146,-0.9127,-0.4538,0.1284,-0.5583333333333333,320.102467,0.02333333333333331,12.18,0.028571428571428574,0.33959999999999996,0.06738095238095239,0.07861111111111112,0.023583333333333335,28.3,0.008805347226228645,-0.37851815999999994,-0.3715333333333333,yes
-0.2802469135802469,0.7620789513793629,0.2716049382716049,0.018985380961033742,-7.64320987654321,0.4281404109110995,0.1728395061728395,0.07407407407407407,0.012345679012345678,0.585786,1.4,-1.0144,-1.9723,-1.7633,1.2798,-0.31938271604938273,320.108461,0.01691358024691359,4.88,0.01818181818181818,0.36773999999999996,0.05604938271604938,0.0400352733686067,0.012738496071829404,22.7,0.005156523223984473,-0.37303545599999993,-0.275516049382716,no
-0.5933333333333334,0.6222222222222222,0.41333333333333333,0.01989253585908811,-10.506666666666666,0.4888324873096446,0.2,0.21333333333333335,0.013333333333333334,1.0,4.7725,-12.2155,-2.1662,-2.0017,2.2727,-0.6609333333333334,320.285745,0.010266666666666709,2.53,0.0,0.9535714285714286,0.14833333333333334,0.1977777777777778,0.01913978494623656,44.5,0.008222248155089752,-11.648351785714286,-5.049073333333333,yes
-0.3731958762886598,0.807737272823892,0.29896907216494845,0.01618641316177325,-9.689690721649484,0.35943722900988584,0.25773195876288657,0.020618556701030927,0.020618556701030927,0.585786,0.1117,0.3158,-0.6785,-0.6546,-0.7796,-0.4469072164948454,320.081406,0.015979381443299013,16.69,0.009852216748768473,0.46202631578947373,0.05331369661266568,0.04146620847651775,0.012868823320298614,18.1,0.004839236924653859,0.14590791052631583,0.09441443298969072,no
-0.5324675324675324,0.505987518974532,0.38961038961038963,0.020010500859460368,-9.324675324675324,0.4769742792026914,0.15584415584415584,0.23376623376623376,0.025974025974025976,2.0,5.1573,-14.87,-2.2917,-2.3811,2.6054,-0.5863636363636363,320.181176,0.0136363636363636,4.01,0.0,1.0523333333333331,0.17748917748917747,0.10649350649350649,0.017748917748917747,20.499999999999996,0.007796299036153391,-15.648196666666662,-5.793506493506493,yes
-0.32954545454545453,0.7489669421487603,0.3409090909090909,0.018002403006967736,-8.427272727272728,0.396869177208983,0.22727272727272727,0.07954545454545454,0.03409090909090909,0.267949,1.3114,1.2545,0.6595,0.659,-0.4273,-0.3794318181818182,320.0755208,0.018068181818181817,23.41,0.014285714285714287,0.44,0.04707792207792207,0.03295454545454545,0.010984848484848484,9.666666666666666,0.006137182843284455,0.55198,0.4276704545454545,no
-0.4875,0.4123263888888889,0.3333333333333333,0.01651002604917871,-7.802083333333333,0.3881564307966177,0.11458333333333333,0.20833333333333334,0.041666666666666664,2.0,3.0545,-22.0815,-3.2863,-3.0648,1.2587,-0.5708333333333333,320.169089,0.011458333333333274,3.54,0.015625,1.1823157894736842,0.24375,0.4875,0.015234375,11.700000000000001,0.005503342016392903,-26.107306105263156,-7.360499999999999,yes
-0.31235955056179776,0.6691074359298068,0.29213483146067415,0.017569452781770162,-7.5539325842696625,0.3949213416295227,0.15730337078651685,0.07865168539325842,0.02247191011235955,0.381966,0.8076,0.8025,-0.4461,-0.4346,-0.4259,-0.33831460674157304,320.0627353,0.019213483146067425,12.13,0.032051282051282055,0.4668301886792453,0.05205992509363296,0.03470661672908864,0.012013828867761452,13.9,0.005132649127258699,0.37463122641509433,0.234438202247191,no
